Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method
0.66,0.21283804094261613,0.07377872735261916,0.4888888888888889,0.21818181818181817,2.8808080808080807,0.06768608093261719,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,48,XGB-Mono-Best
0.66,0.2053526573149128,0.09632288526683844,0.4888888888888889,0.21818181818181817,2.8808080808080807,0.019301891326904297,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,48,LGBM-Mono-Best
0.67,0.23509244503299076,0.10833141611703137,0.6222222222222222,0.09090909090909091,3.292929292929293,0.0006470680236816406,58,0.029,0.003676415236012831,0.1267729391728562,0.14155844155844155,NA,,,,,compas_real,49,CART
0.63,0.37,0.37,0.6222222222222222,0.16363636363636364,3.4383838383838383,2.0522356033325195,18,0.009,0.009,1.0,1.0,OPTIMAL,128.0,128.0,0.0,1.7388926,compas_real,49,ODT
0.65,0.35,0.35000000000000003,0.6222222222222222,0.12727272727272726,3.3656565656565656,2.2814993858337402,0,0.0,0.0,0.0,0.0,OPTIMAL,132.0,132.0,0.0,1.8577917000000002,compas_real,49,EMDT
0.65,0.22677547871000248,0.017539682539682584,0.6222222222222222,0.12727272727272726,3.3656565656565656,2.577191114425659,0,0.0,0.0,0.0,0.0,OPTIMAL,132.0,132.0,0.0,2.1211198,compas_real,49,EMDT-Iso
0.69,0.22476904818662533,0.11127388494340437,0.5111111111111111,0.14545454545454545,2.8464646464646464,0.3047761917114258,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,49,MonoRF
0.63,0.22923736792699906,0.10326448842883108,0.5777777777777777,0.2,3.2888888888888883,0.06402206420898438,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,49,XGB-Mono
0.66,0.22036446436973164,0.08685213041454187,0.4666666666666667,0.23636363636363636,2.806060606060606,0.014499425888061523,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,49,LGBM-Mono
0.67,0.2324494086154823,0.11879493850035933,0.5111111111111111,0.18181818181818182,2.919191919191919,0.008254528045654297,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,49,MonoScore
0.62,0.23146472601859294,0.12850033707916736,0.6,0.2,3.4,0.08127498626708984,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,49,XGB-Mono-Best
0.69,0.2178232150074115,0.09187802049457222,0.4,0.23636363636363636,2.4727272727272727,0.029577016830444336,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,49,LGBM-Mono-Best
0.66,0.21522093826066666,0.12900641480250863,0.37777777777777777,0.3090909090909091,2.507070707070707,0.0007641315460205078,18,0.009,0.00028421052631578936,0.03157894736842104,0.03157894736842104,NA,,,,,compas_real,50,CART
0.67,0.33,0.32999999999999996,0.5333333333333333,0.16363636363636364,2.9939393939393937,2.5486629009246826,213,0.1065,0.1065,1.0,1.0,OPTIMAL,131.0,131.0,0.0,2.0376543000000003,compas_real,50,ODT
0.68,0.32,0.31999999999999995,0.4666666666666667,0.2,2.7333333333333334,2.310300588607788,0,0.0,0.0,0.0,0.0,OPTIMAL,135.0,135.0,0.0,1.8805734,compas_real,50,EMDT
0.68,0.21797557774968038,0.016068307710536456,0.4666666666666667,0.2,2.7333333333333334,2.298308849334717,0,0.0,0.0,0.0,0.0,OPTIMAL,135.0,135.0,0.0,1.867682,compas_real,50,EMDT-Iso
0.67,0.22662692685238991,0.11059313461954765,0.4444444444444444,0.23636363636363636,2.694949494949495,0.27103185653686523,0,0.0,0.0,0.0,0.0,NA,,,,,compas_real,50,MonoRF
