Accuracy,Brier,ECE,FPR,FNR,Cost,Time,violations,viol_rate,viol_severity_mean,viol_severity_cond,viol_severity_max,SolverStatus,Objective,BestBound,RelativeGap,SolverWallTime,Dataset,Seed,Method,BudgetSec
0.74,0.26,0.26,0.8666666666666667,0.0,4.333333333333334,10.653745174407959,0,0.0,0.0,0.0,0.0,FEASIBLE,115.0,-10.0,1.0869565217391304,10.0023043,german_real,49,EMDT,10.0
0.69,0.31,0.31,0.8666666666666667,0.07142857142857142,4.476190476190477,15.541066884994507,243,0.1215,0.1215,1.0,1.0,FEASIBLE,109.0,-3.0,1.0275229357798166,15.010586100000001,german_real,49,ODT,15.0
0.72,0.28,0.27999999999999997,0.8666666666666667,0.02857142857142857,4.390476190476191,15.641821384429932,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,-10.0,1.087719298245614,15.0153227,german_real,49,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.402951955795288,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.7535023000000001,german_real,50,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.5247607231140137,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,1.0302342,german_real,50,EMDT,1.0
0.44,0.56,0.56,0.4,0.6285714285714286,3.257142857142857,3.5827560424804688,776,0.388,0.388,1.0,1.0,FEASIBLE,240.0,-16.0,1.0666666666666667,3.0149701,german_real,50,ODT,3.0
0.6,0.4,0.4,0.8333333333333334,0.21428571428571427,4.595238095238096,3.774651527404785,0,0.0,0.0,0.0,0.0,FEASIBLE,122.0,-23.0,1.1885245901639345,3.0040857,german_real,50,EMDT,3.0
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,5.56555700302124,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-15.0,1.1388888888888888,5.003388500000001,german_real,50,ODT,5.0
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,5.539170265197754,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-23.0,1.212962962962963,5.0022726,german_real,50,EMDT,5.0
0.66,0.34,0.33999999999999997,0.8666666666666667,0.11428571428571428,4.561904761904763,10.514561653137207,0,0.0,0.0,0.0,0.0,FEASIBLE,104.0,-13.0,1.125,10.0041569,german_real,50,ODT,10.0
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,10.689558744430542,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-22.0,1.2037037037037037,10.0033993,german_real,50,EMDT,10.0
0.66,0.34,0.33999999999999997,0.8666666666666667,0.11428571428571428,4.561904761904763,15.475054264068604,0,0.0,0.0,0.0,0.0,FEASIBLE,104.0,-13.0,1.125,15.004141800000001,german_real,50,ODT,15.0
0.67,0.33,0.32999999999999996,0.9,0.08571428571428572,4.671428571428572,15.919754266738892,0,0.0,0.0,0.0,0.0,FEASIBLE,108.0,-22.0,1.2037037037037037,15.011013900000002,german_real,50,EMDT,15.0
0.3,0.7,0.7,0.0,1.0,2.0,1.0977129936218262,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.6387798,german_real,51,ODT,1.0
0.3,0.7,0.7,0.0,1.0,2.0,1.1831846237182617,0,0.0,0.0,0.0,0.0,UNKNOWN,,,,0.739724,german_real,51,EMDT,1.0
0.7,0.3,0.30000000000000004,1.0,0.0,5.0,3.596518039703369,0,0.0,0.0,0.0,0.0,FEASIBLE,119.0,30.0,0.7478991596638656,3.0042258000000004,german_real,51,ODT,3.0
0.7,0.3,0.30000000000000004,1.0,0.0,5.0,3.5314934253692627,0,0.0,0.0,0.0,0.0,FEASIBLE,121.0,30.0,0.7520661157024794,3.0028234,german_real,51,EMDT,3.0
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,5.499595642089844,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,30.0,0.7297297297297297,5.003005900000001,german_real,51,ODT,5.0
0.75,0.25,0.25000000000000006,0.6666666666666666,0.07142857142857142,3.476190476190476,5.7187111377716064,0,0.0,0.0,0.0,0.0,FEASIBLE,114.0,30.0,0.7368421052631579,5.009242700000001,german_real,51,EMDT,5.0
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,10.639607191085815,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,30.0,0.7297297297297297,10.0161616,german_real,51,ODT,10.0
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,10.530540943145752,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,30.0,0.7297297297297297,10.003858800000001,german_real,51,EMDT,10.0
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,15.717790603637695,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,30.0,0.7297297297297297,15.013734500000002,german_real,51,ODT,15.0
0.7,0.3,0.3,0.9333333333333333,0.02857142857142857,4.723809523809524,15.550002574920654,0,0.0,0.0,0.0,0.0,FEASIBLE,111.0,30.0,0.7297297297297297,15.028025000000001,german_real,51,EMDT,15.0
